query_id,paper_id,true_title,context,retrieved_titles,category,corpus_size
q_0,paper_0,{Attention is All you Need,"Introduction
Transformer<|cite_0|> is widely used in natural language processing due to its high training efficiency and superior capa","['{Adaptive Attention Span in Transformers', '{Adaptive Attention Span in Transformers', '{Energy and Policy Considerations for Deep Learning in NLP', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision']",not_in_top_k,51
q_3,paper_0,{Energy and Policy Considerations for Deep Learning in NLP,"gn, but the massive search cost (GPU hours and $CO_2$ emission) raises severe environmental concerns<|cite_3|>, shown in \fig{fig:teaser:b}.

In this paper, we focus on the efficient inference for mobile device","['{MnasNet: Platform-Aware Neural Architecture Search for Mobile', 'Point-Voxel CNN for efficient 3D deep learning', '{Learning Efficient Convolutional Networks through Network Slimming', '{MetaPruning: Meta Learning for Automatic Neural Network Channel Pruning', '{Learning Transferable Architectures for Scalable Image Recognition']",not_in_top_k,51
q_4,paper_0,{Pay Less Attention with Lightweight and Dynamic Convolutions,"ttnshort dedicates \textit{specialized} heads to model long and short distance contexts. Inspired by<|cite_4|>, \attnshort introduces convolution in a parallel branch to capture \textbf{local} dependencies so t","['{Augmenting self-attention with persistent memory', 'Generating Long Sequences with Sparse Transformers', '{Learning Efficient Convolutional Networks through Network Slimming', '{A Deep Reinforced Model for Abstractive Summarization', '{MnasNet: Platform-Aware Neural Architecture Search for Mobile']",not_in_top_k,51
q_7,paper_0,{Neural Machine Translation in Linear Time,"e-art performance. For instance, researchers have proposed highly-efficient convolution-based models<|cite_7|>. Convolution is an ideal primitive to model the local context information; however, it lacks the ab","['GAN Compression: Efficient Architectures for Interactive Conditional GANs', '{Pay Less Attention with Lightweight and Dynamic Convolutions', '{Pay Less Attention with Lightweight and Dynamic Convolutions', '{A Deep Reinforced Model for Abstractive Summarization', 'Point-Voxel CNN for efficient 3D deep learning']",not_in_top_k,51
q_8,paper_0,{Attention is All you Need,"native, attention is able to capture global-context information by pairwise correlation. Transformer<|cite_8|> has demonstrated that it is possible to stack the self-attentions to achieve state-of-the-art perfo","['{Adaptive Attention Span in Transformers', '{Adaptive Attention Span in Transformers', '{Weighted Transformer Network for Machine Translation', '{Weighted Transformer Network for Machine Translation', '{Self-Attention with Relative Position Representations']",not_in_top_k,51
q_9,paper_0,{Weighted Transformer Network for Machine Translation,"achieve state-of-the-art performance. Recently, there have been a lot of variants to the transformer<|cite_9|>. Among them,<|cite_10|> proposed to scale up the batch size;<|cite_11|> leverages the relative posi","['Point-Voxel CNN for efficient 3D deep learning', '{Depthwise Separable Convolutions for Neural Machine Translation', '{MnasNet: Platform-Aware Neural Architecture Search for Mobile', '{Effective Approaches to Attention-based Neural Machine Translation', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision']",not_in_top_k,51
q_10,paper_0,{Scaling Neural Machine Translation,"t performance. Recently, there have been a lot of variants to the transformer<|cite_9|>. Among them,<|cite_10|> proposed to scale up the batch size;<|cite_11|> leverages the relative position representations;<|c","['Point-Voxel CNN for efficient 3D deep learning', '{Depthwise Separable Convolutions for Neural Machine Translation', '{MnasNet: Platform-Aware Neural Architecture Search for Mobile', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision']",not_in_top_k,51
q_20,paper_0,Point-Voxel CNN for efficient 3D deep learning,"most researchers.

\myparagraph{Model Acceleration.}

Apart from designing efficient models directly<|cite_20|>, another approach to achieve efficient inference is to compress and accelerate the existing large m","['{Sequence to Sequence Learning with Neural Networks', '{Efficient Neural Architecture Search via Parameter Sharing', 'GAN Compression: Efficient Architectures for Interactive Conditional GANs', '{FBNet: Hardware-Aware Efficient ConvNet Design via Differentiable Neural Architecture Search', '{Pay Less Attention with Lightweight and Dynamic Convolutions']",not_in_top_k,51
q_21,paper_0,{Learning both Weights and Connections for Efficient Neural Networks,"accelerate the existing large models. For instance, some have proposed to prune the separate neurons<|cite_21|> or the entire channels<|cite_22|>; others have proposed to quantize the network<|cite_23|> to accel","['{Learning Efficient Convolutional Networks through Network Slimming', '{The Evolved Transformer', '{The Evolved Transformer', '{The Evolved Transformer', '{Weighted Transformer Network for Machine Translation']",not_in_top_k,51
q_23,paper_0,{Binarized Neural Networks: Training Deep Neural Networks with Weights and Activations Constrained to +1 or -1,"e neurons<|cite_21|> or the entire channels<|cite_22|>; others have proposed to quantize the network<|cite_23|> to accelerate the model inference. 
Recently, AutoML has also been used to automate the model compr","['{Depthwise Separable Convolutions for Neural Machine Translation', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision', '{HAQ: Hardware-Aware Automated Quantization with Mixed Precision', '{Effective Approaches to Attention-based Neural Machine Translation', '{AMC: AutoML for Model Compression and Acceleration on Mobile Devices']",not_in_top_k,51
